1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
2	aist_2014_b52e30d63f16b825c659b285e3410d02146ab8c5	en	0.9866173267364502	Single-sentence Readability Prediction in Russian	https://link.springer.com/chapter/10.1007/978-3-319-12580-0_9	TASK::Cегментация_текста(0.7123100161552429)|TASK::Дистрибутивная_семантика(0.7032332420349121)
3	dialogue_2017_d94d7e3801d8f21c3421ddc7b67f48f60ef7997d	en	0.9862866401672363	Multi-level Student Essay Feedback in a Learner Corpus	http://www.dialog-21.ru/media/3961/vinogradovaoietal.pdf	TASK::Тематическое_моделирование(0.7065328359603882)
4	dialogue_2015_3f2e67cc4bbbc560dcba69a5d5c1465353e2f309	en	0.984620213508606	Exercise Maker: automatic language exercise generation	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MalafeevAYu.pdf	TASK::Извлечение_именованных_сущностей(0.7043183445930481)
5	dialogue_2016_42b4099699ff462647b136d0406e71c5757a732d	en	0.9838782548904419	Machine-Translated Text detection in a collection of Russian scientific Papers	http://www.dialog-21.ru/media/3422/romanovavetal.pdf	TASK::Cегментация_текста(0.713997483253479)|TASK::Извлечение_именованных_сущностей(0.7067663073539734)
6	dialogue_2016_26cc181f8f467bde0690517f45d93ddafd8d9288	en	0.9831831455230713	An Opinion Word Lexicon and A Training Dataset for Russian Sentiment Analysis of Social Media	http://www.dialog-21.ru/media/3400/koltsovaoyuetal.pdf	TASK::Анализ_тональности(0.7119206190109253)|TASK::Тематическое_моделирование(0.7103474140167236)|TASK::Извлечение_именованных_сущностей(0.701242983341217)
7	dialogue_2018_8ed94dcaeddfa8b303ec74c24c8eb48e0e484070	en	0.9825016856193542	Using Machine Translation for Automatic Genre Classification in Arabic	http://www.dialog-21.ru/media/4292/bulyginmv_sharoffsa.pdf	TASK::Cегментация_текста(0.7110096216201782)|TASK::Тематическое_моделирование(0.7075668573379517)|TASK::Извлечение_именованных_сущностей(0.7075352668762207)
8	aist_2019_d6b02078db975995b1bd27b4d370c829357b9ed3	en	0.9821144938468933	Cross-Lingual Argumentation Mining For Russian Texts	https://link.springer.com/chapter/10.1007/978-3-030-37334-4_12	TASK::Тематическое_моделирование(0.7053999900817871)|TASK::Извлечение_именованных_сущностей(0.7003656625747681)
9	dialogue_2019_8b815669c198b19d1c0dd316b8a5c73d6ae5c226	en	0.9820864200592041	Tracing Cultural Diachronic Semantic Shifts In Russian Using Word Embeddings: Test Sets And Baselines	http://www.dialog-21.ru/media/4598/fominvplusetal-116.pdf	TASK::Извлечение_именованных_сущностей(0.7123932242393494)|TASK::Дистрибутивная_семантика(0.7059053778648376)|TASK::Тематическое_моделирование(0.7028437852859497)
10	dialogue_2016_9c03daad12b268dbbdd4c91fc827191efa016e0f	en	0.9814307689666748	Automatic Spelling Correction For Russian Social Media Texts	http://www.dialog-21.ru/media/3429/sorokinaashavrinato.pdf	TASK::Извлечение_именованных_сущностей(0.7010785341262817)

36.		dialogue_2018_6d5a00769f373ca7a31c81bb33d9944981d61f52	en	Analysis of Coreferential Expressions in Paws (English-czech-russian-polish Parallel Treebankwith Anaphoric Relations)	http://www.dialog-21.ru/media/4321/nedoluzhkoa.pdf	
1	dialogue_2015_fbad5d6963674202385bc9062ba88ebf2baddcf6	en	0.9917358160018921	Coreference Chains in Czech, English and Russian: Preliminary Findings	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/NedoluzhkoAetal.pdf	TASK::Дистрибутивная_семантика(0.705400824546814)|TASK::Извлечение_именованных_сущностей(0.7044049501419067)
2	dialogue_2018_288cc208175b724bee284a6ede9ecdb24e31384e	en	0.9833248257637024	Pronominal Adverbs in German and their Equivalents in English, Czech and Russian: Evidence from the Parallel Corpus	http://www.dialog-21.ru/media/4322/nedoluzhkoa_lapshinova-koltunskie.pdf	TASK::Дистрибутивная_семантика(0.7007948160171509)
3	dialogue_2012_8316b9ea0ead3358a61c81ef3ddf39722ef2a5bd	en	0.9827557802200317	Some differences between Czech and Russian: a parallel corpus study	http://www.dialog-21.ru/media/1335/124.pdf	
4	dialogue_2017_c456f96d43886627d9c9c6d41d7558b9a48b903a	en	0.9812367558479309	Linguistic Tendencies in English to Russian Translation: the Case of Connectives	http://www.dialog-21.ru/media/3920/kunilovskayama.pdf	TASK::Cегментация_текста(0.7034242153167725)
5	dialogue_2019_647244be9125ffcfbb9b9add77ab97cb7621fc6b	en	0.9794741868972778	Referential Choice In Multimodal Communication	http://www.dialog-21.ru/media/4592/budennayaev-128.pdf	TASK::Извлечение_именованных_сущностей(0.7266960144042969)|TASK::Дистрибутивная_семантика(0.7050538659095764)|TASK::Анализ_тональности(0.7021453976631165)|TASK::Тематическое_моделирование(0.7018043398857117)
6	dialogue_2019_2f3181db09d822c57e9831c6fd189a254f598512	en	0.9793292880058289	The Corpus Of Contact-Influenced Russian Of Northern Siberia And The Russian Far East	http://www.dialog-21.ru/media/4602/khomchenkovaiaplusetal-089.pdf	
7	dialogue_2018_a98a147c789cea9ebc1404f527dec0512681e7b0	en	0.9791873693466187	Semi-automatic Integration of a New Language into a Multilingual Nlp Model: the Case of Japanese	http://www.dialog-21.ru/media/4326/petrovama.pdf	TASK::Извлечение_именованных_сущностей(0.7147505283355713)|TASK::Дистрибутивная_семантика(0.7128434181213379)|TASK::Тематическое_моделирование(0.7059206962585449)
8	dialogue_2013_4f3750820181a203cb3d3330a4578811fac46fe2	en	0.9790870547294617	A Coreferentially Annotated Corpus and Anaphora Resolution for Czech	http://www.dialog-21.ru/media/1272/nedoluzhkoa.pdf	TASK::Извлечение_именованных_сущностей(0.7001572251319885)
9	dialogue_2019_9863689ab595f4ddc79a1bbdaa0df2be9774dc16	en	0.9790781736373901	Multilingual Parallel Corpora As A Source For Quantitative Crosslinguistic Grammar Research (The Case Of Voice Constructions)	http://www.dialog-21.ru/media/4591/bonch-osmolovskayaaaplusnesterenkolv-088.pdf	TASK::Извлечение_именованных_сущностей(0.7145518064498901)|TASK::Дистрибутивная_семантика(0.7100303769111633)|TASK::Тематическое_моделирование(0.7043262124061584)
10	dialogue_2014_d92e7c2c46cfd4c0cc971d8eacafa2d27559ba50	en	0.978401780128479	Russian verbal aspect and machine translation	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZangenfeindRSonnenhauserB.pdf	TASK::Извлечение_именованных_сущностей(0.7119441628456116)

37.		dialogue_2018_288cc208175b724bee284a6ede9ecdb24e31384e	en	Pronominal Adverbs in German and their Equivalents in English, Czech and Russian: Evidence from the Parallel Corpus	http://www.dialog-21.ru/media/4322/nedoluzhkoa_lapshinova-koltunskie.pdf	TASK::Дистрибутивная_семантика(0.7007948160171509)
1	dialogue_2015_fbad5d6963674202385bc9062ba88ebf2baddcf6	en	0.9841201901435852	Coreference Chains in Czech, English and Russian: Preliminary Findings	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/NedoluzhkoAetal.pdf	TASK::Дистрибутивная_семантика(0.705400824546814)|TASK::Извлечение_именованных_сущностей(0.7044049501419067)
2	dialogue_2018_6d5a00769f373ca7a31c81bb33d9944981d61f52	en	0.9833248257637024	Analysis of Coreferential Expressions in Paws (English-czech-russian-polish Parallel Treebankwith Anaphoric Relations)	http://www.dialog-21.ru/media/4321/nedoluzhkoa.pdf	
3	dialogue_2014_d92e7c2c46cfd4c0cc971d8eacafa2d27559ba50	en	0.9798632264137268	Russian verbal aspect and machine translation	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZangenfeindRSonnenhauserB.pdf	TASK::Извлечение_именованных_сущностей(0.7119441628456116)
4	dialogue_2013_2d81873bbb1e202be37d928701ed567ab53de182	en	0.9797877073287964	German-russian Idioms Online: on a New Corpus-based Dictionary	http://www.dialog-21.ru/media/1239/dobrovolskijdo.pdf	
5	dialogue_2015_069c945a59db52a1cfc547e2030991d9a35d856d	en	0.9786930680274963	Approaching V2: verb second and verb movement	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZimmerlingAVLyutikovaEA.pdf	
6	dialogue_2014_549d30855d3302722626eea0f4f6fce692d455e3	en	0.978679895401001	The description of locative dependencies in a naturaL language processing model	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LeontievAPPetrovaMA.pdf	TASK::Дистрибутивная_семантика(0.727722704410553)|TASK::Извлечение_именованных_сущностей(0.7077062129974365)
7	dialogue_2017_c456f96d43886627d9c9c6d41d7558b9a48b903a	en	0.9770404100418091	Linguistic Tendencies in English to Russian Translation: the Case of Connectives	http://www.dialog-21.ru/media/3920/kunilovskayama.pdf	TASK::Cегментация_текста(0.7034242153167725)
8	dialogue_2012_caba46a9d6f3fa600c3b211f81aa1f1457ff419e	en	0.9769933819770813	The General Corpus of the Modern Mongolian Language and its Structural-probabilistic Model	http://www.dialog-21.ru/media/1341/149.pdf	TASK::Извлечение_именованных_сущностей(0.7011851668357849)
9	dialogue_2016_0a4d7eec55e8209f61fa204af775861a55902c14	en	0.9768232703208923	Word Sense Frequency Of Similar Polysemous Words In Different Languages	http://www.dialog-21.ru/media/3395/iomdinbletal.pdf	TASK::Извлечение_именованных_сущностей(0.7134723663330078)
10	dialogue_2019_647244be9125ffcfbb9b9add77ab97cb7621fc6b	en	0.9767386317253113	Referential Choice In Multimodal Communication	http://www.dialog-21.ru/media/4592/budennayaev-128.pdf	TASK::Извлечение_именованных_сущностей(0.7266960144042969)|TASK::Дистрибутивная_семантика(0.7050538659095764)|TASK::Анализ_тональности(0.7021453976631165)|TASK::Тематическое_моделирование(0.7018043398857117)

38.		dialogue_2019_74610d867309cc74c401a526aecc13100e3cf53c	en	Measure Clustering Approach To Mwe Extraction	http://www.dialog-21.ru/media/4622/rossyaykinpoplusloukachevitchnv-127.pdf	TASK::Дистрибутивная_семантика(0.7155269384384155)|TASK::Извлечение_именованных_сущностей(0.7069295644760132)|TASK::Тематическое_моделирование(0.702873706817627)
1	dialogue_2018_f51648c56d3d1a493e77a966297a1e85c39fe94e	en	0.9885658621788025	Learning Word Embeddings for Low Resource Languages: the Case of Buryat	http://www.dialog-21.ru/media/4528/konovalovvp_tumunbayarovazb.pdf	TASK::Дистрибутивная_семантика(0.7326750755310059)|TASK::Извлечение_именованных_сущностей(0.708862841129303)|TASK::Тематическое_моделирование(0.7047961950302124)|TASK::Cегментация_текста(0.7029774188995361)
2	dialogue_2016_47916c39d8fcdf58f96f3567f729ba36a4cbe76e	en	0.9883209466934204	Multiple Features for Multiword Extraction: a Learning-to-Rank Approach	http://www.dialog-21.ru/media/3436/tutubalinaevbraslavskipi.pdf	TASK::Тематическое_моделирование(0.706833004951477)|TASK::Извлечение_именованных_сущностей(0.7010657787322998)
3	aist_2018_a7463e753998d30f16ce7f303aaabd2ec8b5f199	en	0.9879940748214722	Vector Space Models in Detection of Semantically Non-compositional Word Combinations in Turkish	https://link.springer.com/chapter/10.1007/978-3-030-11027-7_6	TASK::Извлечение_именованных_сущностей(0.7161754369735718)|TASK::Дистрибутивная_семантика(0.7099016904830933)
4	aist_2019_02b2c8d44ffdd2f7a4145621ee67f48fe46f0b9c	en	0.9879150986671448	Noun Compositionality Detection Using Distributional Semantics For The Russian Language	https://link.springer.com/chapter/10.1007/978-3-030-37334-4_20	TASK::Дистрибутивная_семантика(0.7127038836479187)|TASK::Тематическое_моделирование(0.7097169756889343)|TASK::Извлечение_именованных_сущностей(0.7093335390090942)
5	dialogue_2015_1f213aab9c62140b24e19188e093ea43db88ec1a	en	0.9871746897697449	RUSSE: the first workshop on Russian semantic similarity	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/PanchenkoAetal.pdf	TASK::Дистрибутивная_семантика(0.7224949598312378)|TASK::Тематическое_моделирование(0.7182921767234802)|TASK::Извлечение_именованных_сущностей(0.7169414162635803)|TASK::Cегментация_текста(0.7002737522125244)
6	dialogue_2017_3084c566cb86ff1899eaab590cf64d2957522af8	en	0.9869961142539978	Automatic Collocation Extraction: Association Measures Evaluation and Integration	http://www.dialog-21.ru/media/3963/zakharovvp.pdf	
7	ainl_2017_a34d1189a352a69b558616414eb917ca2c4ece7a	en	0.9868414402008057	Ruthes Thesaurus in Detecting Russian Paraphrases	https://link.springer.com/chapter/10.1007%2F978-3-319-71746-3_20	TASK::Извлечение_именованных_сущностей(0.7211887836456299)|TASK::Дистрибутивная_семантика(0.7208425998687744)|TASK::Тематическое_моделирование(0.706946611404419)|TASK::Cегментация_текста(0.7054461240768433)
8	dialogue_2017_3dddc6eaf72eaf46f6ee5433a45d114296a70852	en	0.9868353605270386	Expanding Hierarchical Contexts for Constructing a Semantic Word Network	http://www.dialog-21.ru/media/3959/ustalovda.pdf	TASK::Дистрибутивная_семантика(0.7319635152816772)|TASK::Тематическое_моделирование(0.7204325199127197)|TASK::Извлечение_именованных_сущностей(0.7169877290725708)
9	dialogue_2016_0d16ab0f2f3491f42cb6434cd830cf3a8a69a1bd	en	0.9867618680000305	Estimating Syntagmatic Association Strength Using Distributional Word Representations	http://www.dialog-21.ru/media/3385/bukiagtetal.pdf	TASK::Дистрибутивная_семантика(0.7280411124229431)|TASK::Извлечение_именованных_сущностей(0.7228116393089294)
10	dialogue_2017_64842a287bba3d0b4829b0b0d5f53086a6514de0	en	0.9864840507507324	Testing Features and Methods in Russian Paraphrasing Task	http://www.dialog-21.ru/media/3928/loukachevitchnvetal.pdf	TASK::Дистрибутивная_семантика(0.7189291715621948)|TASK::Извлечение_именованных_сущностей(0.7052826881408691)|TASK::Cегментация_текста(0.7042034864425659)

39.		ainl_2016_0790fcd7a4965a62eb8127d48d03e51a5467f34d	en	Relational Machine Learning Author Disambiguation	https://fruct.org/publications/AINL-FRUCT-2016/files/Bas.pdf	TASK::Извлечение_именованных_сущностей(0.7247735857963562)
1	dialogue_2013_0e61db3362725c6b58c4c9b20f79874af70182b3	en	0.9820495843887329	Extracting product features from reviews with the use of Internet statistics	http://www.dialog-21.ru/media/1267/marchuckaa.pdf	TASK::Извлечение_именованных_сущностей(0.7053150534629822)
2	ainl_2018_0dc0b8f51dfc6921e7babb9eeadb5e38858c8145	en	0.981187105178833	Smart Context Generation for Disambiguation to Wikipedia	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_2	TASK::Извлечение_именованных_сущностей(0.7233566045761108)|TASK::Тематическое_моделирование(0.7137047648429871)|TASK::Cегментация_текста(0.7027642726898193)
3	aist_2018_825c3a4586be7f4448d2ab54c0405ee028edfc6b	en	0.9808701276779175	Authorship Verification on Short Text Samples Using Stylometric Embeddings	https://link.springer.com/chapter/10.1007/978-3-030-11027-7_7	TASK::Cегментация_текста(0.7203179597854614)|TASK::Извлечение_именованных_сущностей(0.7107794284820557)
4	dialogue_2016_9385c1fb0119d54169158dff324dd43fb25e0e37	en	0.9799768328666687	Распознавание Именованных Сущностей: Подход На Основе Вики-ресурсов	http://www.dialog-21.ru/media/3433/sysoevaaandrianovia.pdf	TASK::Извлечение_именованных_сущностей(0.7617119550704956)
5	ainl_2019_c1083550f1b05b8be05c36d62d6cf60c60007ffb	en	0.9794623255729675	Comparative Analysis Of Scientific Papers Collections Via Topic Modeling And Co-Authorship Networks	https://link.springer.com/chapter/10.1007/978-3-030-34518-1_6	TASK::Тематическое_моделирование(0.7375333309173584)|TASK::Извлечение_именованных_сущностей(0.7026404738426208)
6	aist_2014_806af3ca0302c6b92f616a1fcef4ed33eb376090	en	0.9791282415390015	Detection of Domain-speciﬁc Trends in Text Collections	https://link.springer.com/chapter/10.1007/978-3-319-12580-0_7	TASK::Тематическое_моделирование(0.7138732671737671)
7	dialogue_2015_6e1f13dd827d92f1a0900435f28e1829c76fcd01	en	0.9789854288101196	A high precision method for aspect extraction in Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/MayorovVDetal.pdf	TASK::Извлечение_именованных_сущностей(0.723670482635498)|TASK::Тематическое_моделирование(0.7110328674316406)
8	dialogue_2017_c3891ca5834982ee8e7fc5585002508bf40f0f52	en	0.9788222312927246	Coreference Resolution in Russian: State-of-the-art Approaches Application and Evolvement	http://www.dialog-21.ru/media/3954/sysoevaaetal.pdf	TASK::Извлечение_именованных_сущностей(0.724648118019104)|TASK::Тематическое_моделирование(0.7044963240623474)
9	dialogue_2015_112a8b3e9753b3c36f6cadfba49d55a87a6e73aa	en	0.9781335592269897	Evaluating three corpus-based semantic similarity systems for Russian	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ArefyevNVetal.pdf	TASK::Извлечение_именованных_сущностей(0.7097734212875366)
10	dialogue_2013_c278667a996e945cd9f07ed12964986747e4d152	en	0.977746307849884	The Prospects of Application of Semantic Markup to the Named Entity Recognition Problem	http://www.dialog-21.ru/media/1273/nekhaiiv.pdf	TASK::Извлечение_именованных_сущностей(0.7353966236114502)

40.		aist_2015_310f043fe1734af7e2c1e1b6e386730be7102d59	en	Bigartm: Open Source Library for Regularized Multimodal Topic Modeling of Large Collections	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_36	TASK::Тематическое_моделирование(0.7332652807235718)|TASK::Cегментация_текста(0.7104783058166504)|TASK::Дистрибутивная_семантика(0.7015137672424316)
1	aist_2016_1ba82b96a62f1a33a29c9a031989d26279f1ad4c	en	0.9942111372947693	Parallel Non-blocking Deterministic Algorithm for Online Topic Modeling	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_13	TASK::Тематическое_моделирование(0.7149461507797241)|TASK::Cегментация_текста(0.7011700868606567)
2	aist_2014_793ad5d2e1b4d6f72fa3e7275ac7b6b886d61749	en	0.985689640045166	Tutorial on Probabilistic Topic Modeling: Additive Regularization for Stochastic Matrix Factorization	https://link.springer.com/chapter/10.1007/978-3-319-12580-0_3	TASK::Тематическое_моделирование(0.7398258447647095)|TASK::Дистрибутивная_семантика(0.718586802482605)
3	ainl_2017_8c133c4589f12a1ce238c159d844ad4e06d0767d	en	0.9853852987289429	Interpretable Probabilistic Embeddings: Bridging the Gap between Topic Models and Neural Networks	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_15	TASK::Тематическое_моделирование(0.7364741563796997)|TASK::Дистрибутивная_семантика(0.7348723411560059)|TASK::Извлечение_именованных_сущностей(0.7080604434013367)
4	ainl_2018_0dc0b8f51dfc6921e7babb9eeadb5e38858c8145	en	0.9852643013000488	Smart Context Generation for Disambiguation to Wikipedia	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_2	TASK::Извлечение_именованных_сущностей(0.7233566045761108)|TASK::Тематическое_моделирование(0.7137047648429871)|TASK::Cегментация_текста(0.7027642726898193)
5	ainl_2017_8a7924b89158c4c84ac036ef9be90fd82cf034fa	en	0.9846025705337524	Application of a Hybrid Bi-lstm-crf Model to the Task of Russian Named Entity Recognition	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_8	TASK::Извлечение_именованных_сущностей(0.7241186499595642)|TASK::Тематическое_моделирование(0.7230725884437561)|TASK::Cегментация_текста(0.706620454788208)|TASK::Дистрибутивная_семантика(0.7029131650924683)
6	ainl_2017_e7653661309b13025c1616f7d8e6860550fc3364	en	0.9840883016586304	Comparison of Vector Space Representations of Documents for the Task of Information Retrieval of Massive Open Online Courses	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_14	TASK::Тематическое_моделирование(0.7170809507369995)
7	ainl_2017_52e3056c4c5991253aaff90d98225e12df85a3e3	en	0.9838995337486267	Multi-objective Topic Modeling for Exploratory Search in Tech News	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_16	TASK::Тематическое_моделирование(0.7414821982383728)|TASK::Информационный_поиск(0.7164795994758606)
8	ainl_2019_fd18b20407baefd6c019a13a4aaac9002a3019fa	en	0.9834274649620056	Experimental Comparison Of Unsupervised Approaches In The Task Of Separating Specializations Within Professions In Job Vacancies	https://link.springer.com/chapter/10.1007/978-3-030-34518-1_7	TASK::Тематическое_моделирование(0.7300876975059509)|TASK::Дистрибутивная_семантика(0.7110968828201294)|TASK::Извлечение_именованных_сущностей(0.7085152864456177)|TASK::Cегментация_текста(0.7054112553596497)
9	aist_2016_d78bb8b854e550cc3a00a4bff877bb411de76573	en	0.9830065369606018	User Proﬁling in Text-based Recommender Systems Based on Distributed Word Representations	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_19	TASK::Тематическое_моделирование(0.7093538641929626)
10	dialogue_2019_c6a69a34bc0cd49e878540281d36e5f79ac9f00b	en	0.9828939437866211	An Approach To Customization Of Pre-Trained Neural Network Language Model To Specific Domain	http://www.dialog-21.ru/media/4597/dudarinpvplusetal-126.pdf	TASK::Тематическое_моделирование(0.7204595804214478)|TASK::Извлечение_именованных_сущностей(0.712968111038208)|TASK::Cегментация_текста(0.7051271200180054)|TASK::Дистрибутивная_семантика(0.7040621042251587)
